record_type,record_id,person_key,display_name,role,claim_type,claim_value,event_type,organization_name,event_year,source_key,source_url,source_type,status,confidence,priority,review_action,match_features_json,reconciliation_notes
career_event,102,,"Patrick Kevin Gleeson, MD, MSCE",attending_or_outcome_candidate,penn_training_history_candidate,penn_training_history_candidate: University of Pennsylvania / Penn Medicine,attending_profile_training_history_candidate,University of Pennsylvania / Penn Medicine,,penn_attending_profile_providers_profile_patrick_gleeson_42e3bf9ca1,https://www3.pennmedicine.org/providers/profile/patrick-gleeson,career_event,needs_review,0.78,122,Review official profile training-history claim and reconcile to a Penn trainee identity or independent public anchor.,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]",Career-event candidate; link to prior Penn trainee identity only after source/profile evidence agrees.
career_event,105,,"Priya Patel, MD",attending_or_outcome_candidate,penn_training_history_candidate,penn_training_history_candidate: University of Pennsylvania / Penn Medicine,attending_profile_training_history_candidate,University of Pennsylvania / Penn Medicine,,penn_attending_profile_providers_profile_priya_patel_aed224b7a0,https://www3.pennmedicine.org/providers/profile/priya-patel,career_event,needs_review,0.78,122,Review official profile training-history claim and reconcile to a Penn trainee identity or independent public anchor.,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]",Career-event candidate; link to prior Penn trainee identity only after source/profile evidence agrees.
career_event,99,,"Timothy Buckey, MD, MBE",attending_or_outcome_candidate,penn_training_history_candidate,penn_training_history_candidate: University of Pennsylvania / Penn Medicine,attending_profile_training_history_candidate,University of Pennsylvania / Penn Medicine,,penn_attending_profile_providers_profile_timothy_buckey_d0f4671881,https://www3.pennmedicine.org/providers/profile/timothy-buckey,career_event,needs_review,0.78,122,Review official profile training-history claim and reconcile to a Penn trainee identity or independent public anchor.,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]",Career-event candidate; link to prior Penn trainee identity only after source/profile evidence agrees.
evidence_claim,4092,michelle munyikwa,"Michelle Munyikwa, MD, PhD",fellow,pubmed_article_candidate,33406326,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/33406326/,scholarly_api,needs_review,0.95,121,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""penn_affiliation"", ""prior_training_or_education_affiliation"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,4494,samer mohandes,"Samer Mohandes, MD",fellow,pubmed_article_candidate,40796935,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/40796935/,scholarly_api,needs_review,0.95,121,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""penn_affiliation"", ""prior_training_or_education_affiliation"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,4498,samer mohandes,"Samer Mohandes, MD",fellow,pubmed_article_candidate,41986737,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/41986737/,scholarly_api,needs_review,0.95,121,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""penn_affiliation"", ""prior_training_or_education_affiliation"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,4500,samer mohandes,"Samer Mohandes, MD",fellow,pubmed_article_candidate,42056516,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/42056516/,scholarly_api,needs_review,0.95,121,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""penn_affiliation"", ""prior_training_or_education_affiliation"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,4368,person_rachel-flaugh-md_86b3b2d22ed1,"Rachel Flaugh, MD*",resident,pubmed_article_candidate,38299252,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/38299252/,scholarly_api,needs_review,0.95,117,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""penn_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2959,amber meservey,"Amber Meservey, MD",fellow,pubmed_article_candidate,31828514,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/31828514/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2962,amber meservey,"Amber Meservey, MD",fellow,pubmed_article_candidate,40145043,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/40145043/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2963,amber meservey,"Amber Meservey, MD",fellow,pubmed_article_candidate,40404217,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/40404217/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2964,amber meservey,"Amber Meservey, MD",fellow,pubmed_article_candidate,41290323,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/41290323/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2967,amir heravi,"Amir Heravi, MD",fellow,pubmed_article_candidate,33509400,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/33509400/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2969,amir heravi,"Amir Heravi, MD",fellow,pubmed_article_candidate,35675673,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/35675673/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2974,amir heravi,"Amir Heravi, MD",fellow,pubmed_article_candidate,36978803,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/36978803/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,2994,person_andrew-m-acker-md_7dab4d69d8d1,"Andrew M. Acker, MD",resident,pubmed_article_candidate,37808021,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/37808021/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3088,person_bradley-osemwengie-md_fc27c004b4e0,"Bradley Osemwengie, MD",resident,pubmed_article_candidate,29929716,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/29929716/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3122,person_brittany-brookner-md_cd51dbb20c30,"Brittany Brookner, MD",resident,pubmed_article_candidate,38509339,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/38509339/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3138,bruk mekonen,"Bruk Mekonen, MD, MS",fellow,pubmed_article_candidate,40336497,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/40336497/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3150,carissa e livingston,"Carissa E. Livingston, MD",fellow,pubmed_article_candidate,36877449,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/36877449/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3162,person_caroline-granruth-md_75118e3d87bd,"Caroline Granruth, MD",resident,pubmed_article_candidate,36890044,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/36890044/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3173,person_caroline-l-simon-md_672bfe81e71c,"Caroline L. Simon, MD",resident,pubmed_article_candidate,36516943,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/36516943/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3207,person_china-n-byrns-md-phd-ms_3afc193aaf5c,"China N. Byrns, MD, PhD, MS",resident,pubmed_article_candidate,34115987,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/34115987/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3261,person_christopher-m-anthony-do_caa0231e681b,"Christopher M. Anthony, DO",fellow,pubmed_article_candidate,34865104,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/34865104/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3291,dania salih bacha,"Dania Salih Bacha, MD",fellow,pubmed_article_candidate,33954783,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/33954783/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3292,dania salih bacha,"Dania Salih Bacha, MD",fellow,pubmed_article_candidate,34687206,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/34687206/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3294,dania salih bacha,"Dania Salih Bacha, MD",fellow,pubmed_article_candidate,38468148,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/38468148/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
evidence_claim,3296,dania salih bacha,"Dania Salih Bacha, MD",fellow,pubmed_article_candidate,42162870,,,,pubmed_eutilities,https://pubmed.ncbi.nlm.nih.gov/42162870/,scholarly_api,needs_review,0.91,114,"Review article author, affiliation, topic, and source profile anchors before accepting publication enrichment.","[""article_author_name_match"", ""bounded_author_query"", ""prior_training_or_education_affiliation"", ""program_topic_match"", ""recent_publication""]",Article-level PubMed candidate; accept only after identity review confirms non-name anchors.
