reconciliation_key,source_key,candidate_key,source_url,effective_url,source_program_name,source_department,extraction_status,records_extracted,loaded_membership_count,loaded_person_count,official_program_key,official_program_name,official_coverage_status,gap_reason_status,source_candidate_status,denominator_link_status,denominator_link_confidence,recommended_next_action,evidence_json,audited_at
official_gap_roster_reconciliation_16e1dd48c53b0d23ac47,penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93,seed_roster_candidate_25,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,Anesthesiology,Anesthesiology,records_extracted,97,97,97,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_25"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Anesthesiology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:03.810100+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Anesthesiology"", ""records_extracted"": 97, ""sha256"": ""d54099e1a950536e0804957b0a448d08a300e5289da958ca0b45fd55f2a9b36f"", ""source_key"": ""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_39e3889094da8418af75,penn_gme_gap_education_residency_residents_current_5a6a4942f1,seed_roster_candidate_30,https://pathology.med.upenn.edu/education/residency/residents/current,https://pathology.med.upenn.edu/education/residency/residents/current,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,44,44,44,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_30"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_current_resident_accordion""], ""fetched_at"": ""2026-06-02T20:14:08.580841+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 44, ""sha256"": ""d77161b6ca99875e63c1f42f41ffaf03cbb5d661357aa676a27f91645a9b42a8"", ""source_key"": ""penn_gme_gap_education_residency_residents_current_5a6a4942f1"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/education/residency/residents/current""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Current"", ""candidate_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""confidence"": 0.55, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Current\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/education/residency/residents/current\"", \""confidence\"": 0.55, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 115, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 115, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_56d2eacf7edd61862867,penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b,seed_roster_candidate_15,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,Orthopedic Surgery,Orthopedic Surgery,records_extracted,40,40,40,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_15"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Orthopedic Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:06.010261+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Orthopedic Surgery"", ""records_extracted"": 40, ""sha256"": ""4d9038b55e0f25dbee456452676a5319696d386bf7468f0d123c960455cfde37"", ""source_key"": ""penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_71ee7c9af917449cec1d,penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf,seed_roster_candidate_0,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,Family Medicine,Family Medicine,records_extracted,35,35,35,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_0"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Family Medicine"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:03.967531+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Family Medicine"", ""records_extracted"": 35, ""sha256"": ""7285a96827a7310df916e7622b92256e6d6aba3662f125e1766afabeb5b70a43"", ""source_key"": ""penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_cbd6e1b4e4dd4ddafde5,penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d,seed_roster_candidate_1,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,Obstetrics and Gynecology,Obstetrics and Gynecology,records_extracted,32,32,32,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_1"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Obstetrics and Gynecology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:05.360693+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Obstetrics and Gynecology"", ""records_extracted"": 32, ""sha256"": ""86195abcd16752923c60cb62fe0bde696fee9f88486f626b82c6a13aea0b91da"", ""source_key"": ""penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_3e794dc655bd359b9c63,penn_gme_gap_current_residents_80463f0a85,seed_roster_candidate_9,https://oto.med.upenn.edu/current-residents,https://oto.med.upenn.edu/current-residents,Otorhinolaryngology,Otorhinolaryngology,records_extracted,31,31,31,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_9"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Otorhinolaryngology"", ""effective_url"": ""https://oto.med.upenn.edu/current-residents/"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""heading_name_list""], ""fetched_at"": ""2026-06-02T20:14:08.087276+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Otorhinolaryngology"", ""records_extracted"": 31, ""sha256"": ""40584aeebcc77e5d4944cd13c3fbad94eec90fd81cf20b536e22e646039207ac"", ""source_key"": ""penn_gme_gap_current_residents_80463f0a85"", ""source_type"": ""official_gap_roster"", ""url"": ""https://oto.med.upenn.edu/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_e0c199f177ac47525e33,penn_gme_gap_department_people_residents_81ddbaede6,seed_roster_candidate_29,https://pathology.med.upenn.edu/department/people/residents,https://pathology.med.upenn.edu/department/people/residents,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,25,0,0,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_29"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T20:14:08.455728+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 25, ""sha256"": ""b7ceafbba3c941597b1700cb278dc99b8429f4c2a805ddde9fb3b8dd9b760b63"", ""source_key"": ""penn_gme_gap_department_people_residents_81ddbaede6"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/residents""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Residents"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Residents\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/residents\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_99f6e343616373e5aaab,penn_gme_gap_department_people_fellows_c44026a889,seed_roster_candidate_28,https://pathology.med.upenn.edu/department/people/fellows,https://pathology.med.upenn.edu/department/people/fellows,Pathology Fellowships,Pathology and Laboratory Medicine,records_extracted,25,25,25,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_28"", ""candidate_priority"": 150, ""candidate_title"": ""Fellows"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T20:14:08.698697+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology Fellowships"", ""records_extracted"": 25, ""sha256"": ""2742b4d809c1ca0be4a9212f62e52eb5f36decfb7c654ad8c2139b33f6be2147"", ""source_key"": ""penn_gme_gap_department_people_fellows_c44026a889"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Fellows"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Fellows\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/fellows\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_f41ea3e70213051d3a3a,penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a,seed_roster_candidate_26,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,records_extracted,22,22,22,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_26"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Physical Medicine and Rehabilitation"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:08.828028+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Physical Medicine and Rehabilitation"", ""records_extracted"": 22, ""sha256"": ""75983bf2bf43954003998c5e28a9fa721db4137828eb036843cdf75de73885aa"", ""source_key"": ""penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
official_gap_roster_reconciliation_14cfa6b0eea7a056545c,penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4,seed_roster_candidate_10,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,Neurological Surgery,Neurological Surgery,records_extracted,21,21,21,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_10"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Neurological Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T20:14:04.390783+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Neurological Surgery"", ""records_extracted"": 21, ""sha256"": ""316783d687c6394715bda675696b79f31e5cf5e4a59bbf919a19cf5a7118c269"", ""source_key"": ""penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T20:14:57.125915+00:00
