reconciliation_key,source_key,candidate_key,source_url,effective_url,source_program_name,source_department,extraction_status,records_extracted,loaded_membership_count,loaded_person_count,official_program_key,official_program_name,official_coverage_status,gap_reason_status,source_candidate_status,denominator_link_status,denominator_link_confidence,recommended_next_action,evidence_json,audited_at
official_gap_roster_reconciliation_16e1dd48c53b0d23ac47,penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93,seed_roster_candidate_25,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,Anesthesiology,Anesthesiology,preserved_previous_records_after_refresh_error,97,97,97,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_25"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Anesthesiology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:51.753828+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:31.402168+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Anesthesiology"", ""records_extracted"": 97, ""sha256"": ""ab41ad4aea23b48480c2cc0e953e33cef33d52fc29d7db815155c758ab8c4544"", ""source_key"": ""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_39e3889094da8418af75,penn_gme_gap_education_residency_residents_current_5a6a4942f1,seed_roster_candidate_30,https://pathology.med.upenn.edu/education/residency/residents/current,https://pathology.med.upenn.edu/education/residency/residents/current,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,44,44,44,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_30"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_current_resident_accordion""], ""fetched_at"": ""2026-06-02T13:45:35.231157+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 44, ""sha256"": ""90079678acd22b629dd473a7ad2ee3af56294fb28b8af531be02182b2668e74d"", ""source_key"": ""penn_gme_gap_education_residency_residents_current_5a6a4942f1"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/education/residency/residents/current""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Current"", ""candidate_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""confidence"": 0.55, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Current\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/education/residency/residents/current\"", \""confidence\"": 0.55, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T12:54:08.334235+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 115, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 115, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T13:58:15.557235+00:00
official_gap_roster_reconciliation_56d2eacf7edd61862867,penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b,seed_roster_candidate_15,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,Orthopedic Surgery,Orthopedic Surgery,preserved_previous_records_after_refresh_error,40,40,40,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_15"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Orthopedic Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:54.027842+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:32.758036+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Orthopedic Surgery"", ""records_extracted"": 40, ""sha256"": ""18f7626cb5331dcce76c469938675ac4b291a53bfca0df329557b9c9a710b4a4"", ""source_key"": ""penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_71ee7c9af917449cec1d,penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf,seed_roster_candidate_0,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,Family Medicine,Family Medicine,preserved_previous_records_after_refresh_error,35,35,35,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_0"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Family Medicine"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:51.944527+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:31.461766+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Family Medicine"", ""records_extracted"": 35, ""sha256"": ""7d49698379cf67c422f4dd098d2e590c079746451a8009160e01203761083610"", ""source_key"": ""penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_cbd6e1b4e4dd4ddafde5,penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d,seed_roster_candidate_1,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,Obstetrics and Gynecology,Obstetrics and Gynecology,preserved_previous_records_after_refresh_error,32,32,32,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_1"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Obstetrics and Gynecology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:53.383242+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:32.366991+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Obstetrics and Gynecology"", ""records_extracted"": 32, ""sha256"": ""f1bb47f88b6ded204802f9a53faae68fbc4e6d5074a6c4cdf91152b9f7804767"", ""source_key"": ""penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_3e794dc655bd359b9c63,penn_gme_gap_current_residents_80463f0a85,seed_roster_candidate_9,https://oto.med.upenn.edu/current-residents,https://oto.med.upenn.edu/current-residents,Otorhinolaryngology,Otorhinolaryngology,records_extracted,31,31,31,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_9"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Otorhinolaryngology"", ""effective_url"": ""https://oto.med.upenn.edu/current-residents/"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""heading_name_list""], ""fetched_at"": ""2026-06-02T13:45:34.821181+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Otorhinolaryngology"", ""records_extracted"": 31, ""sha256"": ""40584aeebcc77e5d4944cd13c3fbad94eec90fd81cf20b536e22e646039207ac"", ""source_key"": ""penn_gme_gap_current_residents_80463f0a85"", ""source_type"": ""official_gap_roster"", ""url"": ""https://oto.med.upenn.edu/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_e0c199f177ac47525e33,penn_gme_gap_department_people_residents_81ddbaede6,seed_roster_candidate_29,https://pathology.med.upenn.edu/department/people/residents,https://pathology.med.upenn.edu/department/people/residents,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,25,0,0,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_29"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T13:45:35.106654+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 25, ""sha256"": ""815ba88deb5a64c4e8eed7f8a14185cba3ad9a11d482bd90198ae74894077e9a"", ""source_key"": ""penn_gme_gap_department_people_residents_81ddbaede6"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/residents""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Residents"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Residents\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/residents\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T12:54:08.334235+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T13:58:15.557235+00:00
official_gap_roster_reconciliation_99f6e343616373e5aaab,penn_gme_gap_department_people_fellows_c44026a889,seed_roster_candidate_28,https://pathology.med.upenn.edu/department/people/fellows,https://pathology.med.upenn.edu/department/people/fellows,Pathology Fellowships,Pathology and Laboratory Medicine,records_extracted,25,25,25,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_28"", ""candidate_priority"": 150, ""candidate_title"": ""Fellows"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T13:45:35.343802+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology Fellowships"", ""records_extracted"": 25, ""sha256"": ""161cc1efce63f27ec8299a916c98448bd487508bbfbd3afa907a975f353430be"", ""source_key"": ""penn_gme_gap_department_people_fellows_c44026a889"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Fellows"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Fellows\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/fellows\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T12:54:08.334235+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T13:58:15.557235+00:00
official_gap_roster_reconciliation_f41ea3e70213051d3a3a,penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a,seed_roster_candidate_26,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,preserved_previous_records_after_refresh_error,22,22,22,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_26"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Physical Medicine and Rehabilitation"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:57.066294+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:35.422954+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Physical Medicine and Rehabilitation"", ""records_extracted"": 22, ""sha256"": ""eaaf6e7278b158f7054ec9d926cd7232b2c6328117c5dcedf97caf962be43791"", ""source_key"": ""penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
official_gap_roster_reconciliation_14cfa6b0eea7a056545c,penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4,seed_roster_candidate_10,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,Neurological Surgery,Neurological Surgery,preserved_previous_records_after_refresh_error,21,21,21,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_10"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Neurological Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents"", ""extraction_status"": ""preserved_previous_records_after_refresh_error"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T12:57:52.580440+00:00"", ""http_status"": 200, ""latest_refresh_attempted_at"": ""2026-06-02T13:45:31.929489+00:00"", ""latest_refresh_error"": """", ""latest_refresh_http_status"": 500, ""official_program_key"": """", ""preservation_policy"": ""Retain previously captured public roster rows when a later refresh has a transport-level fetch error; stale/refresh status is handled by the training state machine."", ""program_name"": ""Neurological Surgery"", ""records_extracted"": 21, ""sha256"": ""df55a1100b9e86bc502eb08fdfbca3fba9bd69e6bdb6068aa367b70eddee31de"", ""source_key"": ""penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T13:46:10.444136+00:00
