reconciliation_key,source_key,candidate_key,source_url,effective_url,source_program_name,source_department,extraction_status,records_extracted,loaded_membership_count,loaded_person_count,official_program_key,official_program_name,official_coverage_status,gap_reason_status,source_candidate_status,denominator_link_status,denominator_link_confidence,recommended_next_action,evidence_json,audited_at
official_gap_roster_reconciliation_16e1dd48c53b0d23ac47,penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93,seed_roster_candidate_25,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,Anesthesiology,Anesthesiology,records_extracted,97,97,97,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_25"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Anesthesiology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:21.692608+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Anesthesiology"", ""records_extracted"": 97, ""sha256"": ""f524f3bcbec92b161d3956191dc65afc652dc627d4f8958310d633e59dad2a58"", ""source_key"": ""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_39e3889094da8418af75,penn_gme_gap_education_residency_residents_current_5a6a4942f1,seed_roster_candidate_30,https://pathology.med.upenn.edu/education/residency/residents/current,https://pathology.med.upenn.edu/education/residency/residents/current,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,44,44,44,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_30"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_current_resident_accordion""], ""fetched_at"": ""2026-06-02T18:03:29.348666+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 44, ""sha256"": ""37cdbc7110623cc2d51a1b33dfcb5569d52ff9a1fe6ec96fe118b42c0b502479"", ""source_key"": ""penn_gme_gap_education_residency_residents_current_5a6a4942f1"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/education/residency/residents/current""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Current"", ""candidate_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""confidence"": 0.55, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Current\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/education/residency/residents/current\"", \""confidence\"": 0.55, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 115, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 115, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_56d2eacf7edd61862867,penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b,seed_roster_candidate_15,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,Orthopedic Surgery,Orthopedic Surgery,records_extracted,40,40,40,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_15"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Orthopedic Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:26.683339+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Orthopedic Surgery"", ""records_extracted"": 40, ""sha256"": ""1b31432fa0d3eb437c4af028fab5f68f9523b17b078a548c6bb0293367a142dd"", ""source_key"": ""penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_71ee7c9af917449cec1d,penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf,seed_roster_candidate_0,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,Family Medicine,Family Medicine,records_extracted,35,35,35,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_0"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Family Medicine"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:22.192367+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Family Medicine"", ""records_extracted"": 35, ""sha256"": ""b5e9771d03603509a59c33864d5e88b4570d90deb60f7f26293a7d85338434dc"", ""source_key"": ""penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_cbd6e1b4e4dd4ddafde5,penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d,seed_roster_candidate_1,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,Obstetrics and Gynecology,Obstetrics and Gynecology,records_extracted,32,32,32,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_1"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Obstetrics and Gynecology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:25.281436+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Obstetrics and Gynecology"", ""records_extracted"": 32, ""sha256"": ""ac762c2910a54ada3ab713122f56c3ef5b6d751fe0a8b4b8df93ff7ad9f421f4"", ""source_key"": ""penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_3e794dc655bd359b9c63,penn_gme_gap_current_residents_80463f0a85,seed_roster_candidate_9,https://oto.med.upenn.edu/current-residents,https://oto.med.upenn.edu/current-residents,Otorhinolaryngology,Otorhinolaryngology,records_extracted,31,31,31,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_9"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Otorhinolaryngology"", ""effective_url"": ""https://oto.med.upenn.edu/current-residents/"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""heading_name_list""], ""fetched_at"": ""2026-06-02T18:03:28.860859+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Otorhinolaryngology"", ""records_extracted"": 31, ""sha256"": ""40584aeebcc77e5d4944cd13c3fbad94eec90fd81cf20b536e22e646039207ac"", ""source_key"": ""penn_gme_gap_current_residents_80463f0a85"", ""source_type"": ""official_gap_roster"", ""url"": ""https://oto.med.upenn.edu/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_e0c199f177ac47525e33,penn_gme_gap_department_people_residents_81ddbaede6,seed_roster_candidate_29,https://pathology.med.upenn.edu/department/people/residents,https://pathology.med.upenn.edu/department/people/residents,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,25,0,0,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_29"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T18:03:29.229017+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 25, ""sha256"": ""7df13e333fe7b67fbcc2054a0607d2839979157125d2cad53817df35c9dcc513"", ""source_key"": ""penn_gme_gap_department_people_residents_81ddbaede6"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/residents""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Residents"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Residents\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/residents\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_99f6e343616373e5aaab,penn_gme_gap_department_people_fellows_c44026a889,seed_roster_candidate_28,https://pathology.med.upenn.edu/department/people/fellows,https://pathology.med.upenn.edu/department/people/fellows,Pathology Fellowships,Pathology and Laboratory Medicine,records_extracted,25,25,25,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_28"", ""candidate_priority"": 150, ""candidate_title"": ""Fellows"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T18:03:29.470675+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology Fellowships"", ""records_extracted"": 25, ""sha256"": ""cc677ae5754b97d47c152b6f3355427f9085430400828cb015a5a63b754e61d0"", ""source_key"": ""penn_gme_gap_department_people_fellows_c44026a889"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Fellows"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Fellows\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/fellows\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T14:57:30.931790+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""supported_person_structure_count\"": 0, \""supported_person_structure_types\"": [], \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate"", ""supported_person_structure_count"": 0, ""supported_person_structure_types"": ""[]""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_f41ea3e70213051d3a3a,penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a,seed_roster_candidate_26,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,records_extracted,22,22,22,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_26"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Physical Medicine and Rehabilitation"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:29.952566+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Physical Medicine and Rehabilitation"", ""records_extracted"": 22, ""sha256"": ""ff8e2cad068e7d769ab016d82289d403b1adf8ee409a56d6f45d79a85a8e5964"", ""source_key"": ""penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
official_gap_roster_reconciliation_14cfa6b0eea7a056545c,penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4,seed_roster_candidate_10,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,Neurological Surgery,Neurological Surgery,records_extracted,21,21,21,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_10"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Neurological Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T18:03:23.211020+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Neurological Surgery"", ""records_extracted"": 21, ""sha256"": ""9de7c641253123e524878eaca1887838db342fd902bfb576ff39a5b601821bf2"", ""source_key"": ""penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T18:04:13.083679+00:00
