reconciliation_key,source_key,candidate_key,source_url,effective_url,source_program_name,source_department,extraction_status,records_extracted,loaded_membership_count,loaded_person_count,official_program_key,official_program_name,official_coverage_status,gap_reason_status,source_candidate_status,denominator_link_status,denominator_link_confidence,recommended_next_action,evidence_json,audited_at
official_gap_roster_reconciliation_da31dcba928820d328cf,penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93,seed_roster_candidate_21,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents,Anesthesiology,Anesthesiology,records_extracted,97,97,97,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_21"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Anesthesiology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:39.435977+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Anesthesiology"", ""records_extracted"": 97, ""sha256"": ""af4dcd90d3b98775e6e375517ddc0c120c6ab6139ef3b3f85c4b08ade1ab3462"", ""source_key"": ""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_a819bc2ca215b9685a33,penn_gme_gap_education_residency_residents_current_5a6a4942f1,seed_roster_candidate_26,https://pathology.med.upenn.edu/education/residency/residents/current,https://pathology.med.upenn.edu/education/residency/residents/current,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,44,44,44,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_26"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_current_resident_accordion""], ""fetched_at"": ""2026-06-02T07:24:43.928121+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 44, ""sha256"": ""9e7199132edd46e1afde915a696ea5809875e32cf32ea16b487bd041d12c7268"", ""source_key"": ""penn_gme_gap_education_residency_residents_current_5a6a4942f1"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/education/residency/residents/current""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Current"", ""candidate_url"": ""https://pathology.med.upenn.edu/education/residency/residents/current"", ""confidence"": 0.55, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Current\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/education/residency/residents/current\"", \""confidence\"": 0.55, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T08:09:31.537738+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 115, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 115, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_56d2eacf7edd61862867,penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b,seed_roster_candidate_15,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents,Orthopedic Surgery,Orthopedic Surgery,records_extracted,40,40,40,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_15"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Orthopedic Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:41.496446+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Orthopedic Surgery"", ""records_extracted"": 40, ""sha256"": ""2430d4bfb3a1f43a522334fc689bd675c67362d5340ab491b426c76940317b6a"", ""source_key"": ""penn_gme_gap_departments_and_centers_orthopaedic_surgery_education_and_training_res_bc144f028b"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_71ee7c9af917449cec1d,penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf,seed_roster_candidate_0,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents,Family Medicine,Family Medicine,records_extracted,35,35,35,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_0"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Family Medicine"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:39.594007+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Family Medicine"", ""records_extracted"": 35, ""sha256"": ""19a98a7990b40515b5e0ea7f38a56eebd8ea39a17ef9107f5cd4bd66f9e9bd1a"", ""source_key"": ""penn_gme_gap_departments_and_centers_family_medicine_and_community_health_education_3e2990eebf"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_cbd6e1b4e4dd4ddafde5,penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d,seed_roster_candidate_1,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents,Obstetrics and Gynecology,Obstetrics and Gynecology,records_extracted,32,32,32,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_1"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Obstetrics and Gynecology"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:40.879703+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Obstetrics and Gynecology"", ""records_extracted"": 32, ""sha256"": ""6c05b7fce45fc1d1cc8251270f367e3b1b817b5aac3f9d5b53f2368b1efb85f3"", ""source_key"": ""penn_gme_gap_departments_and_centers_obstetrics_and_gynecology_education_and_traini_2c6709998d"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/residency-programs/obgyn-residency-program-hup/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_3e794dc655bd359b9c63,penn_gme_gap_current_residents_80463f0a85,seed_roster_candidate_9,https://oto.med.upenn.edu/current-residents,https://oto.med.upenn.edu/current-residents,Otorhinolaryngology,Otorhinolaryngology,records_extracted,31,31,31,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_9"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Otorhinolaryngology"", ""effective_url"": ""https://oto.med.upenn.edu/current-residents/"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""heading_name_list""], ""fetched_at"": ""2026-06-02T07:24:43.486013+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Otorhinolaryngology"", ""records_extracted"": 31, ""sha256"": ""adf1ba6114f25e9f9bcc0d6d058d0bc6bca61b10978aeda1b130e0e5152d4e6b"", ""source_key"": ""penn_gme_gap_current_residents_80463f0a85"", ""source_type"": ""official_gap_roster"", ""url"": ""https://oto.med.upenn.edu/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_2906c00787ddd2697272,penn_gme_gap_department_people_residents_81ddbaede6,seed_roster_candidate_25,https://pathology.med.upenn.edu/department/people/residents,https://pathology.med.upenn.edu/department/people/residents,Pathology - Anatomic and Clinical,Pathology and Laboratory Medicine,records_extracted,25,0,0,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_25"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T07:24:43.803396+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology - Anatomic and Clinical"", ""records_extracted"": 25, ""sha256"": ""c03b1ff6ff7c17389916b3f3d6ce74be3af7b27a50133575a1a932fc2fc4b417"", ""source_key"": ""penn_gme_gap_department_people_residents_81ddbaede6"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/residents""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Residents"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/residents"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Residents\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/residents\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T08:09:31.537738+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_0638477aeec67d110f79,penn_gme_gap_department_people_fellows_c44026a889,seed_roster_candidate_24,https://pathology.med.upenn.edu/department/people/fellows,https://pathology.med.upenn.edu/department/people/fellows,Pathology Fellowships,Pathology and Laboratory Medicine,records_extracted,25,25,25,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Soft Tissue/Bone (Selective),discovered_no_current_roster,source_already_loaded_related_program_review,roster_source_candidate,records_extracted_with_official_program_key,0.92,"Review extracted source against official denominator row; if program identity matches, update coverage mapping.","{""coverage_row"": {""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_name"": """", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f""}, ""gap_reason_row"": {""gap_reason_status"": ""source_already_loaded_related_program_review"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""recommended_next_action"": ""review_program_alias_or_official_denominator_mapping"", ""related_loaded_person_count"": 69, ""top_candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_24"", ""candidate_priority"": 150, ""candidate_title"": ""Fellows"", ""department"": ""Pathology and Laboratory Medicine"", ""effective_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""pathology_people_accordion""], ""fetched_at"": ""2026-06-02T07:24:44.038351+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Pathology Fellowships"", ""records_extracted"": 25, ""sha256"": ""7f1ba3e7fd3a8663c9c072085d1dcdc05f9be89ef0d889a93242ed534875b4e4"", ""source_key"": ""penn_gme_gap_department_people_fellows_c44026a889"", ""source_type"": ""official_gap_roster"", ""url"": ""https://pathology.med.upenn.edu/department/people/fellows""}, ""matched_source_candidate"": {""candidate_key"": ""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce"", ""candidate_status"": ""roster_source_candidate"", ""candidate_title"": ""Fellows"", ""candidate_url"": ""https://pathology.med.upenn.edu/department/people/fellows"", ""confidence"": 0.7, ""context_term_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""department"": ""Pathology and Laboratory Medicine"", ""evidence_json"": ""{\""candidate_key\"": \""program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce\"", \""candidate_status\"": \""roster_source_candidate\"", \""candidate_title\"": \""Fellows\"", \""candidate_url\"": \""https://pathology.med.upenn.edu/department/people/fellows\"", \""confidence\"": 0.7, \""content_type\"": \""\"", \""context_term_count\"": 0, \""coverage_status\"": \""discovered_no_current_roster\"", \""department\"": \""Pathology and Laboratory Medicine\"", \""error\"": \""\"", \""fetched_at\"": \""2026-06-02T08:09:31.537738+00:00\"", \""http_status\"": \""\"", \""official_program_key\"": \""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f\"", \""priority\"": 130, \""program_name\"": \""Soft Tissue/Bone (Selective)\"", \""program_type\"": \""fellowship\"", \""reasons\"": [\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""], \""roster_term_count\"": 0, \""sha256\"": \""\"", \""source_role\"": \""linked_candidate\"", \""sponsoring_institution\"": \""Hospital of the University of Pennsylvania\"", \""text_length\"": 0}"", ""http_status"": null, ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""priority"": 130, ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship"", ""reasons_json"": ""[\""linked_from_gap_page\"", \""roster_language\"", \""program_context_language\""]"", ""roster_term_count"": 0, ""source_role"": ""linked_candidate""}, ""official_program"": {""department"": ""Pathology and Laboratory Medicine"", ""official_program_key"": ""hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f"", ""program_name"": ""Soft Tissue/Bone (Selective)"", ""program_type"": ""fellowship""}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_979112a9894be1314c2d,penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a,seed_roster_candidate_22,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents,Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,records_extracted,22,22,22,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_22"", ""candidate_priority"": 150, ""candidate_title"": ""Current Residents"", ""department"": ""Physical Medicine and Rehabilitation"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:44.169592+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Physical Medicine and Rehabilitation"", ""records_extracted"": 22, ""sha256"": ""322388adbc8608638bf7664b1aa56745ff099d4dd2afe0dd8462e8d70d01045d"", ""source_key"": ""penn_gme_gap_departments_and_centers_physical_medicine_and_rehabilitation_education_7d5742c85a"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/current-residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
official_gap_roster_reconciliation_14cfa6b0eea7a056545c,penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4,seed_roster_candidate_10,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents,Neurological Surgery,Neurological Surgery,records_extracted,21,21,21,,,,,,records_extracted_seed_without_denominator_key,0.58,Review source/program alias and attach an official_program_key before counting denominator coverage.,"{""coverage_row"": {}, ""gap_reason_row"": {}, ""gap_roster_source"": {""candidate_confidence"": 0.75, ""candidate_key"": ""seed_roster_candidate_10"", ""candidate_priority"": 150, ""candidate_title"": ""Residents"", ""department"": ""Neurological Surgery"", ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents"", ""extraction_status"": ""records_extracted"", ""extractors_used"": [""bio_component""], ""fetched_at"": ""2026-06-02T07:24:40.198339+00:00"", ""http_status"": 200, ""official_program_key"": """", ""program_name"": ""Neurological Surgery"", ""records_extracted"": 21, ""sha256"": ""bd5dccc6d1b5232ee15eb00e5cee411dc1e48432bd59984e583b6d84b8db3816"", ""source_key"": ""penn_gme_gap_departments_and_centers_neurosurgery_education_and_training_residency__aa4b8422b4"", ""source_type"": ""official_gap_roster"", ""url"": ""https://www3.pennmedicine.org/departments-and-centers/neurosurgery/education-and-training/residency/residents""}, ""matched_source_candidate"": {}, ""official_program"": {}}",2026-06-02T10:45:04.157591+00:00
