verification_key,check_name,check_status,expected_value,observed_value,evidence_json,mutation_policy,generated_at
top50_public_clone_verification_6c134ad8cab7abf99ac7,top50_target_registry_boundary,pass,"{""rowset_sha256"":""fa547bf602d8dc9998189a0fabe2b45a1cba6892239eedf391cdb65c6ef419d8"",""targets"":50}","{""rowset_sha256"":""fa547bf602d8dc9998189a0fabe2b45a1cba6892239eedf391cdb65c6ef419d8"",""targets"":50}","{""summary"":""artifacts/data/top50_medical_school_targets_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_75cd3db5029f0d62ac49,school_verification_registry_boundary,pass,"{""mutation_allowed"":false,""rowset_sha256"":""e99eb07b856f8bdd546d2ac2bb0641c22cd2bedd69e42d8f38f7e5db04823e29"",""verified_school_rows"":1}","{""mutation_allowed"":false,""rowset_sha256"":""e99eb07b856f8bdd546d2ac2bb0641c22cd2bedd69e42d8f38f7e5db04823e29"",""verified_school_rows"":1}","{""summary"":""artifacts/data/school_verification_registry_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_fea34c3bcbe4ef0c3409,operating_snapshot_boundary,pass,"{""mutation_allowed"":false,""rowset_sha256"":""b8933a5875eb28cdf61430110ddd9a70a41b2d4525198e38e17ff3924236fd48""}","{""mutation_allowed"":false,""rowset_sha256"":""b8933a5875eb28cdf61430110ddd9a70a41b2d4525198e38e17ff3924236fd48""}","{""snapshot"":""artifacts/data/top50_engine_operating_snapshot.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_c8cf5c679cf63a86a190,snapshot_points_to_vanderbilt_operator_packets,pass,"{""rowset_sha256"":""6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173"",""status"":""ready_for_public_safe_vanderbilt_operator_packets""}","{""rowset_sha256"":""6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173"",""status"":""ready_for_public_safe_vanderbilt_operator_packets""}","{""snapshot_lane"":{""lane"":""vanderbilt_targeted_route_parser_scope_gbrain_approval"",""recommended_next_action"":""Use the public-safe Vanderbilt reviewer operator packets to enter non-mutating reviewer decisions in artifacts/data/vanderbilt_candidate_reviewer_decisions.csv, then rerun the decision audit, batch packet materializer, and operator-packet materializer. Any accepted person rows, denominator closure, identity reconciliation, parser acceptance, or scope closure still requires a later exact approval packet."",""rowset_sha256"":""6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173"",""source_artifact"":""artifacts/data/vanderbilt_public_reviewer_operator_packets.csv"",""status"":""ready_for_public_safe_vanderbilt_operator_packets""}}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_3a6f47f1fe1cf4d34f10,vanderbilt_batch_packet_boundary,pass,"{""batch_packet_rows"":20,""csv_rows"":20,""decision_row_count"":159,""invalid_decision_rows"":0,""json_rows"":20,""mutation_allowed"":false,""pending_decision_rows"":159,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""rowset_sha256"":""26b30bda381e9bc86c8d8448c0dcdb2a00466fcaf7f1d8b6d438331e702c3a0f""}","{""batch_packet_rows"":20,""csv_rows"":20,""decision_row_count"":159,""invalid_decision_rows"":0,""json_rows"":20,""mutation_allowed"":false,""pending_decision_rows"":159,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""rowset_sha256"":""26b30bda381e9bc86c8d8448c0dcdb2a00466fcaf7f1d8b6d438331e702c3a0f""}","{""summary"":""artifacts/data/vanderbilt_candidate_review_batch_packet_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_01e449698b588ace886e,vanderbilt_operator_packet_boundary,pass,"{""csv_rows"":20,""decision_row_count"":159,""json_rows"":20,""missing_required_template_column_mentions"":0,""mutation_allowed"":false,""operator_packet_rows"":20,""pending_decision_rows"":159,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""rowset_sha256"":""6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173""}","{""csv_rows"":20,""decision_row_count"":159,""json_rows"":20,""missing_required_template_column_mentions"":0,""mutation_allowed"":false,""operator_packet_rows"":20,""pending_decision_rows"":159,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""rowset_sha256"":""6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173""}","{""summary"":""artifacts/data/vanderbilt_public_reviewer_operator_packet_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_a9a5237e48fd646a4ccd,vanderbilt_decision_audit_boundary,pass,"{""accepted_person_rows"":0,""audit_rows"":159,""invalid_rows"":0,""mutation_allowed"":false,""pending_rows"":159,""rowset_sha256"":""e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de""}","{""accepted_person_rows"":0,""audit_rows"":159,""invalid_rows"":0,""mutation_allowed"":false,""pending_rows"":159,""rowset_sha256"":""e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de""}","{""summary"":""artifacts/data/vanderbilt_candidate_reviewer_decision_audit_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_0cd72bc29a57b0a7633a,vanderbilt_scaffold_boundary,pass,"{""decision_scaffold_rows"":159,""manual_decision_template_rows"":159,""mutation_allowed"":false,""rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","{""decision_scaffold_rows"":159,""manual_decision_template_rows"":159,""mutation_allowed"":false,""rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","{""summary"":""artifacts/data/vanderbilt_candidate_review_decision_scaffold_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_85756c97ebff4611d6f3,vanderbilt_reviewer_patch_template_boundary,pass,"{""blank_action_rows"":159,""blank_confirmation_rows"":159,""csv_rows"":159,""helper_accepts_template_shape"":true,""json_rows"":159,""mutation_allowed"":false,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""reviewer_note_column_committed"":false,""rowset_sha256"":""5532d007555997f54d25884baba2f4e594d4ff1fa286301bfa6f87fc64caaa8d"",""template_intentionally_invalid_until_filled"":true,""template_rows"":159,""valid_non_mutating_rows"":0}","{""blank_action_rows"":159,""blank_confirmation_rows"":{""confirm_candidate_fingerprint_only"":159,""confirm_decision_fingerprint"":159,""confirm_no_denominator_closure"":159,""confirm_no_person_ingestion"":159,""confirm_no_raw_name_added"":159,""confirm_no_url_rewrite"":159,""confirm_recourse_only"":159,""confirm_scope_metadata_only"":159},""csv_rows"":159,""helper_accepts_template_shape"":true,""json_rows"":159,""mutation_allowed"":false,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""reviewer_note_column_committed"":false,""rowset_sha256"":""5532d007555997f54d25884baba2f4e594d4ff1fa286301bfa6f87fc64caaa8d"",""template_intentionally_invalid_until_filled"":true,""template_rows"":159,""valid_non_mutating_rows"":0}","{""summary"":""artifacts/data/vanderbilt_reviewer_decision_patch_template_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
top50_public_clone_verification_3a140c198aa7fe29557e,vanderbilt_reviewer_patch_workbook_boundary,pass,"{""blank_action_rows"":159,""blank_confirmation_rows"":159,""csv_rows"":159,""decision_fingerprint_present_rows"":159,""helper_patch_extraction_required"":true,""json_rows"":159,""mutation_allowed"":false,""operator_packet_rows_represented"":20,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""reviewer_note_column_committed"":false,""rowset_sha256"":""18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3"",""valid_non_mutating_rows"":0,""workbook_intentionally_invalid_as_direct_patch"":true,""workbook_rows"":159}","{""blank_action_rows"":159,""blank_confirmation_rows"":{""confirm_candidate_fingerprint_only"":159,""confirm_decision_fingerprint"":159,""confirm_no_denominator_closure"":159,""confirm_no_person_ingestion"":159,""confirm_no_raw_name_added"":159,""confirm_no_url_rewrite"":159,""confirm_recourse_only"":159,""confirm_scope_metadata_only"":159},""csv_rows"":159,""decision_fingerprint_present_rows"":159,""helper_patch_extraction_required"":true,""json_rows"":159,""mutation_allowed"":false,""operator_packet_rows_represented"":20,""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""reviewer_note_column_committed"":false,""rowset_sha256"":""18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3"",""valid_non_mutating_rows"":0,""workbook_intentionally_invalid_as_direct_patch"":true,""workbook_rows"":159}","{""summary"":""artifacts/data/vanderbilt_reviewer_decision_patch_workbook_summary.json""}","Non-mutating public clone verification for the top-50/Vanderbilt operating substrate. It reads committed public-safe summaries, packets, README policy, and script guards. It does not fetch web pages, call GBrain, regenerate scratch-dependent manifests, approve person ingestion, close denominators, verify schools, rewrite URLs, accept enrichment facts, publish raw dumps, or collapse identities.",2026-06-09T07:53:40.236659+00:00
