rollup_key,old_snapshot_id,new_snapshot_id,snapshot_comparison_kind,old_snapshot_as_of_date,new_snapshot_as_of_date,days_between_snapshots,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,change_type,transition_assurance,expected_by_state_machine,event_count,review_event_count,expected_event_count,evidence_json
transition_rollup_5d3a592b4a88b6040d14,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,corpus,United States medical trainees,,,,,,,,unchanged,same_state,1,1610,0,1610,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""corpus"", ""rollup_value"": ""United States medical trainees"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_67645402f33ccdbb3bdd,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,country,US,,United States,US,,,,,unchanged,same_state,1,1610,0,1610,"{""country"": ""United States"", ""country_code"": ""US"", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""country"", ""rollup_value"": ""US"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_86e897a8a033202d17d9,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution,Perelman School of Medicine at the University of Pennsylvania,Perelman School of Medicine at the University of Pennsylvania,,,,,,,unchanged,same_state,1,225,0,225,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution"", ""rollup_value"": ""Perelman School of Medicine at the University of Pennsylvania"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_be99d4e8cae7e34f4242,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution,University of Pennsylvania / CHOP,University of Pennsylvania / CHOP,,,,,,,unchanged,same_state,1,45,0,45,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution"", ""rollup_value"": ""University of Pennsylvania / CHOP"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_a2db4cafcfb62bc6db81,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution,University of Pennsylvania / Penn Medicine,University of Pennsylvania / Penn Medicine,,,,,,,unchanged,same_state,1,1340,0,1340,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution"", ""rollup_value"": ""University of Pennsylvania / Penn Medicine"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_0a85c73143276f9b85f3,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution_role,Perelman School of Medicine at the University of Pennsylvania::medical_student,Perelman School of Medicine at the University of Pennsylvania,,,medical_student,,,,unchanged,same_state,1,225,0,225,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution_role"", ""rollup_value"": ""Perelman School of Medicine at the University of Pennsylvania::medical_student"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_85177ab949f1b6a79034,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution_role,University of Pennsylvania / CHOP::resident,University of Pennsylvania / CHOP,,,resident,,,,unchanged,same_state,1,45,0,45,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution_role"", ""rollup_value"": ""University of Pennsylvania / CHOP::resident"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_95db49162b0c20a91404,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution_role,University of Pennsylvania / Penn Medicine::fellow,University of Pennsylvania / Penn Medicine,,,fellow,,,,unchanged,same_state,1,387,0,387,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution_role"", ""rollup_value"": ""University of Pennsylvania / Penn Medicine::fellow"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_2396fd378b9265eef18c,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,institution_role,University of Pennsylvania / Penn Medicine::resident,University of Pennsylvania / Penn Medicine,,,resident,,,,unchanged,same_state,1,953,0,953,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""institution_role"", ""rollup_value"": ""University of Pennsylvania / Penn Medicine::resident"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
transition_rollup_5bbfecaacd9e38560c17,training_states_2026-06-02_4d3f6a439424,training_states_2026-06-02_39aac55b1be8,same_day_corpus_revision,2026-06-02,2026-06-02,0,lifecycle_code,US_GME_ANESTHESIA_CA_PHASE_3Y,,,,,,,US_GME_ANESTHESIA_CA_PHASE_3Y,unchanged,same_state,1,75,0,75,"{""country"": """", ""country_code"": """", ""days_between_snapshots"": 0, ""new_snapshot_as_of_date"": ""2026-06-02"", ""new_snapshot_id"": ""training_states_2026-06-02_39aac55b1be8"", ""old_snapshot_as_of_date"": ""2026-06-02"", ""old_snapshot_id"": ""training_states_2026-06-02_4d3f6a439424"", ""rollup_scope"": ""lifecycle_code"", ""rollup_value"": ""US_GME_ANESTHESIA_CA_PHASE_3Y"", ""snapshot_comparison_kind"": ""same_day_corpus_revision""}"
