audit_key,source_url,source_title,source_scope,access_status,capture_status,source_role,observed_http_status,effective_url,public_person_count_observed,loaded_person_count,md_phd_signal_count,current_student_signal_count,directory_signal_count,recommended_next_action,confidence,evidence_json,audited_at
penn_med_student_source_91ce889fd2a40864,https://www.med.upenn.edu/mstp/student-directories.html,student directories | Medical Scientist Training Program | Perelman School of Medicine at the University of Pennsylvania,student_directory_index,public,student_directory_index_with_protected_md_notice,source_index,200,https://www.med.upenn.edu/mstp/student-directories.html,0,0,14,7,13,use_index_to_monitor_whether_md_student_directory_becomes_public,0.9,"{""content_type"": ""text/html; charset=UTF-8"", ""directory_links"": [{""label"": ""MSTP student directory"", ""url"": ""https://www.med.upenn.edu/mstp/student-directory/""}, {""label"": ""Anthropology"", ""url"": ""https://www.sas.upenn.edu/anthropology/graduate/md/phd-program""}, {""label"": ""Biochemistry & Molecular Biophysics"", ""url"": ""https://www.med.upenn.edu/bmbgrad/students_current.html""}, {""label"": ""Cell and Molecular Biology"", ""url"": ""https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0""}, {""label"": ""Epidemiology & Biostatistics"", ""url"": ""https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0""}, {""label"": ""Genomics & Computational Biology"", ""url"": ""https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Immunology"", ""url"": ""https://www.med.upenn.edu/immun/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Neuroscience"", ""url"": ""https://www.med.upenn.edu/ngg/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Pharmacology"", ""url"": ""https://www.med.upenn.edu/pgg/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Bioengineering"", ""url"": ""https://be.seas.upenn.edu/doctoral/our-students/student-directory/""}, {""label"": ""Health Care Management and Economics"", ""url"": ""https://hcmg.wharton.upenn.edu/programs/phd/students/""}, {""label"": ""History and Sociology of Science"", ""url"": ""https://hss.sas.upenn.edu/people/graduate-students""}, {""label"": ""Medical Student Directory"", ""url"": ""http://www.med.upenn.edu/apps/my/sms/studentdir/""}], ""error"": """", ""profile_card_count"": 0, ""protected_md_directory_notice"": true, ""sha256"": ""2cefd32e8c97edc8b3a96a85332af49b74f2b1cc7ce31627371915cbbbb0f968"", ""student_heading_count"": 1, ""text_length"": 3078}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_6c3c6d5a8506fbe0,https://www.med.upenn.edu/mstp/student-directory/,student directory | Medical Scientist Training Program | Perelman School of Medicine at the University of Pennsylvania,md_phd_public_directory,public,accepted_public_mstp_roster,current_md_phd_students,200,https://www.med.upenn.edu/mstp/student-directory/,225,225,70,5,7,retain_as_partial_medical_student_truth_anchor_and_refresh_annually,0.92,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""profile_card_count"": 225, ""sha256"": ""20cfd648eac7cdcb28eccf3c2c232df9e007732a0ff7febcd5f16300ae27ff98"", ""student_heading_count"": 0, ""text_length"": 72201}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_b9f06d7545c78bd8,https://www.med.upenn.edu/psom/directory.html,Penn Directory | Perelman School of Medicine | Perelman School of Medicine at the University of Pennsylvania,psom_directory_context,public,points_to_medical_student_directory_without_public_records,directory_context,200,https://www.med.upenn.edu/psom/directory.html,0,0,2,1,7,probe_medical_student_directory_but_do_not_scrape_pennkey_content,0.86,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""medical_student_directory_link_seen"": true, ""profile_card_count"": 0, ""sha256"": ""3c0c7024fc86832c53e88abaab717c46657b8bd78c1d5d678fff90dca9880ab0"", ""student_heading_count"": 5, ""text_length"": 2105}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_dac9e528b07137af,https://my.med.upenn.edu/student/,Home | MD Program | Perelman School of Medicine at the University of Pennsylvania,md_program_context,public,public_md_program_context_no_student_roster,md_program_context,200,https://my.med.upenn.edu/student/,0,0,0,1,1,record_context_and_do_not_infer_student_people,0.76,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""profile_card_count"": 0, ""sha256"": ""1da506e4609832e025b229d2717e2fb32dfcc07f4e34d9f1209b87d9231f0cbe"", ""student_heading_count"": 4, ""text_length"": 5114}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_db889739b764909d,https://www.med.upenn.edu/apps/my/sms/studentdir/,,md_student_directory,pennkey_protected,protected_no_public_roster_records,current_md_students,200,https://www.med.upenn.edu/apps/my/?_preserve[init_panel]=sms%2Fstudentdir%2Fmain,0,0,0,0,0,record_as_not_public_and_monitor_index_for_access_change,0.92,"{""content_type"": ""text/html; charset=utf-8"", ""error"": """", ""profile_card_count"": 0, ""protected_redirect_detected"": true, ""sha256"": ""0f7e1e81713e0694a7c5c6d1438210cdf0aaa62decd2e8f7fd861a8a2ceadfaf"", ""student_heading_count"": 0, ""text_length"": 79}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_9c337fe0eed3e8ad,https://www.sas.upenn.edu/anthropology/graduate/md/phd-program,MD/ PhD Program | Department of Anthropology,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://anthropology.sas.upenn.edu/graduate/md/phd-program,1,0,31,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=utf-8"", ""error"": """", ""index_link_label"": ""Anthropology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""1195fd7ba69d0926ed053e30072870d75d615cbf1aa7c21b3cc44b4a67d44983"", ""student_heading_count"": 1, ""text_length"": 39665}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_80df042e8035f3ac,https://www.med.upenn.edu/bmbgrad/students_current.html,BBCBgrad group | PSOM at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/bmbgrad/students_current.html,0,0,0,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Biochemistry & Molecular Biophysics"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""5d0ab25befa31bfe43950d34290f0b7a6a3d1122432ad11fc7f0e7e224670fec"", ""student_heading_count"": 0, ""text_length"": 336}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_4661ae364f968ec4,https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,Current Students | Cell & Molecular Biology Graduate Group | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,393,0,55,6,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Cell and Molecular Biology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""76bfb27afe4fe805723d31e43610c8b4d254895716a7f25fda83c0877cef61da"", ""student_heading_count"": 393, ""text_length"": 101021}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_52d953d06a4f1d81,https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,Page Not Found | Epidemiology and Biostatistics Graduate Group | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,fetch_error_or_unreachable,unreachable_review,md_phd_or_graduate_students,404,https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,0,0,0,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.3,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Epidemiology & Biostatistics"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""9f16622fb4a749bb504b257184b1bb46fa193c29845d5216200a74093eef817f"", ""student_heading_count"": 0, ""text_length"": 2894}",2026-06-02T09:23:57.539538+00:00
penn_med_student_source_a95c1f0c16a6fbab,https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0,Current Students | Graduate Group in Genomics and Computational Biology | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0,65,0,8,6,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Genomics & Computational Biology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""d658941faf7cdd339c33b281ca1835772c440599c515b02872b30dd052cc8f35"", ""student_heading_count"": 65, ""text_length"": 19390}",2026-06-02T09:23:57.539538+00:00
