audit_key,source_url,source_title,source_scope,access_status,capture_status,source_role,observed_http_status,effective_url,public_person_count_observed,loaded_person_count,md_phd_signal_count,current_student_signal_count,directory_signal_count,recommended_next_action,confidence,evidence_json,audited_at
penn_med_student_source_91ce889fd2a40864,https://www.med.upenn.edu/mstp/student-directories.html,student directories | Medical Scientist Training Program | Perelman School of Medicine at the University of Pennsylvania,student_directory_index,public,student_directory_index_with_protected_md_notice,source_index,200,https://www.med.upenn.edu/mstp/student-directories.html,0,0,14,7,13,use_index_to_monitor_whether_md_student_directory_becomes_public,0.9,"{""content_type"": ""text/html; charset=UTF-8"", ""directory_links"": [{""label"": ""MSTP student directory"", ""url"": ""https://www.med.upenn.edu/mstp/student-directory/""}, {""label"": ""Anthropology"", ""url"": ""https://www.sas.upenn.edu/anthropology/graduate/md/phd-program""}, {""label"": ""Biochemistry & Molecular Biophysics"", ""url"": ""https://www.med.upenn.edu/bmbgrad/students_current.html""}, {""label"": ""Cell and Molecular Biology"", ""url"": ""https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0""}, {""label"": ""Epidemiology & Biostatistics"", ""url"": ""https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0""}, {""label"": ""Genomics & Computational Biology"", ""url"": ""https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Immunology"", ""url"": ""https://www.med.upenn.edu/immun/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Neuroscience"", ""url"": ""https://www.med.upenn.edu/ngg/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Pharmacology"", ""url"": ""https://www.med.upenn.edu/pgg/current-students/#group=students&degree=0&year=0&advisor=0""}, {""label"": ""Bioengineering"", ""url"": ""https://be.seas.upenn.edu/doctoral/our-students/student-directory/""}, {""label"": ""Health Care Management and Economics"", ""url"": ""https://hcmg.wharton.upenn.edu/programs/phd/students/""}, {""label"": ""History and Sociology of Science"", ""url"": ""https://hss.sas.upenn.edu/people/graduate-students""}, {""label"": ""Medical Student Directory"", ""url"": ""http://www.med.upenn.edu/apps/my/sms/studentdir/""}], ""error"": """", ""profile_card_count"": 0, ""protected_md_directory_notice"": true, ""sha256"": ""c1374db72992ad673df4028e84f7559612f4aec31cbcce263dc7d1d07554516f"", ""student_heading_count"": 1, ""text_length"": 3078}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_6c3c6d5a8506fbe0,https://www.med.upenn.edu/mstp/student-directory/,student directory | Medical Scientist Training Program | Perelman School of Medicine at the University of Pennsylvania,md_phd_public_directory,public,accepted_public_mstp_roster,current_md_phd_students,200,https://www.med.upenn.edu/mstp/student-directory/,225,225,70,5,7,retain_as_partial_medical_student_truth_anchor_and_refresh_annually,0.92,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""profile_card_count"": 225, ""sha256"": ""174c019574cc900aed92ef4950fc8d9f50775a29130f608451ce54c71d9aff3f"", ""student_heading_count"": 0, ""text_length"": 72201}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_b9f06d7545c78bd8,https://www.med.upenn.edu/psom/directory.html,Penn Directory | Perelman School of Medicine | Perelman School of Medicine at the University of Pennsylvania,psom_directory_context,public,points_to_medical_student_directory_without_public_records,directory_context,200,https://www.med.upenn.edu/psom/directory.html,0,0,2,1,7,probe_medical_student_directory_but_do_not_scrape_pennkey_content,0.86,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""medical_student_directory_link_seen"": true, ""profile_card_count"": 0, ""sha256"": ""54ada2bd82f64086b9bdd80840c7364cc1bcec8531be2b9d75ac031039775ae8"", ""student_heading_count"": 5, ""text_length"": 2105}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_dac9e528b07137af,https://my.med.upenn.edu/student/,Home | MD Program | Perelman School of Medicine at the University of Pennsylvania,md_program_context,public,public_md_program_context_no_student_roster,md_program_context,200,https://my.med.upenn.edu/student/,0,0,0,1,1,record_context_and_do_not_infer_student_people,0.76,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""profile_card_count"": 0, ""sha256"": ""0845783714ccd67b0a7b2572de704d6e3c90883b74417be2cdb7bb2f9f1e209d"", ""student_heading_count"": 4, ""text_length"": 5114}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_db889739b764909d,https://www.med.upenn.edu/apps/my/sms/studentdir/,,md_student_directory,pennkey_protected,protected_no_public_roster_records,current_md_students,200,https://www.med.upenn.edu/apps/my/?_preserve[init_panel]=sms%2Fstudentdir%2Fmain,0,0,0,0,0,record_as_not_public_and_monitor_index_for_access_change,0.92,"{""content_type"": ""text/html; charset=utf-8"", ""error"": """", ""profile_card_count"": 0, ""protected_redirect_detected"": true, ""sha256"": ""0127596dd1313ff4cb14f2e6ef6e5e8bbd96a69c70e0f93cab577962f41639e9"", ""student_heading_count"": 0, ""text_length"": 79}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_9c337fe0eed3e8ad,https://www.sas.upenn.edu/anthropology/graduate/md/phd-program,MD/ PhD Program | Department of Anthropology,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://anthropology.sas.upenn.edu/graduate/md/phd-program,1,0,31,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=utf-8"", ""error"": """", ""index_link_label"": ""Anthropology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""dfc1d1f62d61818cd7c3c5bbf4778fdc837374f6f1240b4b22b3f6e12156380f"", ""student_heading_count"": 1, ""text_length"": 39665}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_80df042e8035f3ac,https://www.med.upenn.edu/bmbgrad/students_current.html,BBCBgrad group | PSOM at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/bmbgrad/students_current.html,0,0,0,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Biochemistry & Molecular Biophysics"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""fb364bdc7eea72600d2c652c7c7df6b68e1d1c509edb7799167113eb5f8632d6"", ""student_heading_count"": 0, ""text_length"": 336}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_4661ae364f968ec4,https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,Current Students | Cell & Molecular Biology Graduate Group | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/camb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,393,0,55,6,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Cell and Molecular Biology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""e455b817eae916bcd3a979e6f0d1ca1b08629ebfa4471396bd2aba272e7b47b5"", ""student_heading_count"": 393, ""text_length"": 101021}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_52d953d06a4f1d81,https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,Page Not Found | Epidemiology and Biostatistics Graduate Group | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,fetch_error_or_unreachable,unreachable_review,md_phd_or_graduate_students,404,https://www.med.upenn.edu/ggeb/current-students/#group=students&program=0&degree=0&year=0&advisor=0,0,0,0,1,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.3,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Epidemiology & Biostatistics"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""7d50731ddd3b0d8a41f31f0ca202e4c4efcd101d807a9543d8577727fbb126ac"", ""student_heading_count"": 0, ""text_length"": 2894}",2026-06-02T10:06:01.790544+00:00
penn_med_student_source_a95c1f0c16a6fbab,https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0,Current Students | Graduate Group in Genomics and Computational Biology | Perelman School of Medicine at the University of Pennsylvania,graduate_directory_md_phd_filter,public,public_md_phd_crosscheck_candidate,md_phd_or_graduate_students,200,https://www.med.upenn.edu/gcb/student-directory/#group=students&degree=0&year=0&advisor=0,65,0,8,6,0,use_only_for_mstp_crosscheck_or_background_enrichment_not_md_denominator,0.66,"{""content_type"": ""text/html; charset=UTF-8"", ""error"": """", ""index_link_label"": ""Genomics & Computational Biology"", ""index_url"": ""https://www.med.upenn.edu/mstp/student-directories.html"", ""profile_card_count"": 0, ""sha256"": ""771e467c1389da85e3aa8e0e07c4b440b4f1cb2af01a28428d81993ac159fb9c"", ""student_heading_count"": 65, ""text_length"": 19390}",2026-06-02T10:06:01.790544+00:00
